0	4.1382
3123	2.0912
2365	2.7991
2366	3.0991
1869	1.0638
500	3.6189
501	1.7129
328	3.5863
1871	1.9896
1	2.1859
2	1.4434
1874	2.0986
502	3.0761
3	1.9270
1872	2.3123
3585	3.2176
1445	3.2994
4	2.8584
1447	1.2765
5	1.8938
6	2.0094
3360	3.1343
1870	2.0877
1449	2.1531
3361	2.5536
3362	2.6202
2368	2.0111
7	2.6289
1620	1.8062
990	2.9591
2033	3.6484
2718	2.6649
2628	3.7715
8	2.9021
3125	2.9968
1873	1.4707
2369	2.7048
2876	1.6061
2806	2.7602
1450	2.6202
2877	2.3751
1451	3.5515
2878	1.8654
1452	1.8654
1530	3.0683
9	1.9270
1356	3.8795
2371	3.4424
3367	2.3106
1896	2.9619
1453	2.2993
72	2.2079
10	2.5113
1454	3.0991
1919	3.4252
44	2.2147
1116	2.4623
2879	2.4466
1924	2.0094
3714	2.5023
2880	2.3219
2372	2.4388
2373	1.4558
1033	2.9306
1876	1.8654
1964	1.4807
2883	2.1652
1455	2.5586
1877	2.6936
1456	3.1399
2374	2.2210
2375	3.6189
2204	3.0198
1934	2.5977
2376	1.9270
1457	2.0877
993	2.3830
506	2.6202
12	3.0761
13	2.3480
994	2.6202
1817	1.7379
995	2.2453
575	2.8853
2885	2.5586
1458	3.0991
2886	2.0613
507	2.8702
1055	2.0670
14	2.1427
15	3.1102
996	2.1130
1879	3.3074
508	3.6588
1880	1.3682
2378	2.9591
2887	2.5586
1460	2.3751
1962	2.3936
2888	2.0833
1461	3.5953
825	2.4007
509	2.1213
3373	1.5025
1063	2.3082
1882	1.8336
2380	3.2199
3374	3.0534
510	3.2908
511	2.5182
2890	1.7930
2891	2.8061
1075	0.9108
16	2.2769
3301	1.0021
3375	2.6202
998	1.6640
2892	2.7696
512	2.6729
1883	2.9306
912	1.8643
1884	1.6558
1077	2.5977
1885	2.9257
17	3.6038
2811	2.9591
503	3.5297
18	2.8711
1886	2.3465
1463	2.5268
100	2.0613
513	1.2397
3378	3.0677
19	3.1242
3059	2.7900
3379	1.9270
1464	3.1955
515	1.7885
1465	3.5953
2895	1.9270
1888	2.5802
3488	1.4807
2382	2.0613
516	2.5586
2383	2.6707
1889	2.8191
1467	3.3954
1890	1.6779
1891	3.4533
3382	1.1318
3364	2.6267
3440	2.5493
2385	2.9591
2813	2.7991
1000	2.7397
227	2.0613
20	0.9957
2386	3.5953
2280	3.5953
970	2.6535
123	2.7048
2899	3.7521
2900	1.9395
2387	2.2709
517	1.5815
1002	2.3082
518	3.0761
1892	3.3299
2965	1.5216
2875	2.8256
519	3.4533
520	2.6790
2389	3.8886
2559	2.3830
521	1.2461
1469	2.3106
522	1.8755
2390	2.0613
1893	1.0227
22	2.9257
3387	3.5953
2391	2.9242
2392	2.9885
3389	1.7248
3390	1.9697
3391	2.7602
23	2.8358
2903	2.5506
24	2.8043
991	2.0613
419	2.5185
1895	3.7049
2904	3.0369
25	3.4252
523	2.7806
3175	1.5642
1004	3.0534
2394	2.6729
1551	2.6565
26	2.3751
1005	3.1955
27	3.4172
242	2.6157
165	2.5185
169	3.0991
1472	3.4335
3286	3.0479
3393	2.3082
525	3.2116
1126	3.9840
3045	1.8317
527	2.4877
1006	2.2792
1129	1.8320
3395	2.9306
528	2.3830
28	1.5216
29	4.1184
529	3.0232
530	2.5185
1685	3.5297
1898	2.8498
30	2.3510
2207	2.0613
436	2.7806
3370	2.0613
1899	1.5591
2905	1.9270
531	2.1457
1009	2.7886
2397	3.5869
76	3.4252
2725	2.5187
1010	3.7715
3067	3.0761
348	1.8463
989	3.4424
2078	2.1456
1900	3.4243
1475	3.4424
3745	2.5837
1476	2.8520
1012	2.7907
1289	2.3186
1477	2.8853
2907	2.3751
32	2.0613
1478	3.0396
1159	3.3979
1901	2.9632
1013	2.3658
3130	1.8654
1479	2.0111
1163	2.5983
1164	1.8331
532	2.1923
33	3.2638
2402	2.0877
34	1.8562
533	3.4533
1480	2.1489
1902	3.1898
1124	2.3713
3685	3.0040
1481	2.2792
3365	3.0783
3668	1.9891
1177	2.5023
1903	3.4252
2909	2.7765
1904	1.8249
2457	2.7806
3662	2.6729
535	1.0298
3400	1.9797
35	2.1598
2809	2.3863
1777	2.8938
1206	2.7390
1905	2.6202
536	2.7806
36	3.1955
37	3.4199
1793	3.0991
537	3.4685
1907	2.6143
1483	3.0991
2403	2.0569
3293	1.9515
2630	1.6730
2107	3.4922
1014	2.7806
1908	3.4424
739	2.9591
2405	1.7729
2109	3.2308
2818	1.6019
538	1.8654
1484	2.0159
38	3.0589
2910	3.3979
3402	2.8855
2118	1.9335
1485	1.6423
2407	2.2006
2408	2.2698
1909	3.5609
39	2.6359
2911	2.9591
2912	1.8643
40	1.9410
539	1.5591
1015	3.9570
2409	2.8061
1016	2.3465
1911	3.7049
2410	2.8584
1913	3.8886
2411	1.9427
41	2.7806
1344	2.6449
2134	3.0783
1914	3.1887
540	3.5863
3144	2.2993
2413	2.7536
2414	3.0593
332	2.7038
2913	2.0613
3154	2.6566
1875	3.5953
42	2.2006
1291	2.8938
1351	1.9270
1017	3.0783
3407	2.7048
658	1.9270
3435	3.2631
2950	2.4623
423	2.2369
1916	3.1955
541	3.2021
1917	1.9270
2917	1.2431
1018	2.0073
1019	3.9570
542	3.5452
1490	1.7403
3190	2.6520
43	3.2413
2416	3.9559
1020	3.9840
290	1.8654
1918	2.4806
2160	3.6189
2161	2.9591
543	2.9591
1491	2.3602
3410	1.7447
1920	3.4424
1021	1.9270
1921	3.6189
1922	1.6424
659	1.8790
1970	2.7048
2920	3.4922
2884	2.7042
3186	3.4533
1022	3.5953
45	1.9270
2419	1.9270
